Date,Price
Sun Dec 20 12:20:00 UTC 2020,23518.0
Sun Dec 20 12:30:00 UTC 2020,23477.0
Sun Dec 20 12:40:00 UTC 2020,23435.0
Sun Dec 20 12:40:56 UTC 2020,23412.5
Sun Dec 20 12:50:00 UTC 2020,23433.5
Sun Dec 20 13:00:00 UTC 2020,23512.0
Sun Dec 20 13:10:00 UTC 2020,23465.5
Sun Dec 20 13:20:00 UTC 2020,23410.0
Sun Dec 20 13:30:00 UTC 2020,23446.0
Sun Dec 20 13:40:00 UTC 2020,23428.5
Sun Dec 20 13:50:00 UTC 2020,23503.5
Sun Dec 20 14:00:00 UTC 2020,23596.0
Sun Dec 20 14:10:00 UTC 2020,23559.5
Sun Dec 20 14:20:00 UTC 2020,23610.5
Sun Dec 20 14:30:00 UTC 2020,23609.0
Sun Dec 20 14:40:00 UTC 2020,23629.0
Sun Dec 20 14:50:00 UTC 2020,23599.0
Sun Dec 20 15:00:00 UTC 2020,23574.0
Sun Dec 20 15:10:00 UTC 2020,23618.0
Sun Dec 20 15:20:00 UTC 2020,23579.5
Sun Dec 20 15:30:00 UTC 2020,23679.5
Sun Dec 20 15:40:00 UTC 2020,23765.0
Sun Dec 20 15:50:00 UTC 2020,23936.0
Sun Dec 20 16:00:00 UTC 2020,23915.0
Sun Dec 20 16:10:00 UTC 2020,23854.0
Sun Dec 20 16:20:00 UTC 2020,23808.5
Sun Dec 20 16:30:00 UTC 2020,23823.5
Sun Dec 20 16:40:00 UTC 2020,23812.0
Sun Dec 20 16:50:00 UTC 2020,23831.0
Sun Dec 20 17:00:00 UTC 2020,23668.5
Sun Dec 20 17:10:00 UTC 2020,23784.0
Sun Dec 20 17:20:00 UTC 2020,23788.0
Sun Dec 20 17:30:00 UTC 2020,23812.0
Sun Dec 20 17:40:00 UTC 2020,23779.0
Sun Dec 20 17:50:00 UTC 2020,23839.5
Sun Dec 20 18:00:00 UTC 2020,23768.5
Sun Dec 20 18:10:00 UTC 2020,23717.5
Sun Dec 20 18:20:00 UTC 2020,23772.5
Sun Dec 20 18:30:00 UTC 2020,23801.5
Sun Dec 20 18:40:00 UTC 2020,23888.5
Sun Dec 20 18:50:00 UTC 2020,23902.0
Sun Dec 20 19:00:00 UTC 2020,23907.0
Sun Dec 20 19:10:00 UTC 2020,23874.0
Sun Dec 20 19:20:00 UTC 2020,23854.5
Sun Dec 20 19:30:00 UTC 2020,23855.5
Sun Dec 20 19:40:00 UTC 2020,23900.0
Sun Dec 20 19:50:00 UTC 2020,23910.0
Sun Dec 20 20:00:00 UTC 2020,23974.5
Sun Dec 20 20:10:00 UTC 2020,23959.0
Sun Dec 20 20:20:00 UTC 2020,24139.0
Sun Dec 20 20:30:00 UTC 2020,24163.5
Sun Dec 20 20:40:00 UTC 2020,24306.5
