Date,BTC,ETH,,XXXX
Fri Jun 04 02:30:00 UTC 2021,37566,2712.45,,
Fri Jun 04 02:40:00 UTC 2021,37760,2728.1,,
Fri Jun 04 02:50:00 UTC 2021,37792.5,2732.3,,
Fri Jun 04 03:00:00 UTC 2021,37774,2734.45,,
Fri Jun 04 03:10:00 UTC 2021,37660.5,2726,,
Fri Jun 04 03:20:00 UTC 2021,37710,2731.1,,
Fri Jun 04 03:30:00 UTC 2021,37920.5,2756.4,,
Fri Jun 04 03:40:00 UTC 2021,38035.5,2754.3,,
Fri Jun 04 03:50:00 UTC 2021,37884.5,2749.65,,
Fri Jun 04 04:00:00 UTC 2021,37947,2754,,
Fri Jun 04 04:10:00 UTC 2021,37877.5,2759.6,,
Fri Jun 04 04:20:00 UTC 2021,37680,2736.3,,
Fri Jun 04 04:30:01 UTC 2021,37672.5,2736.3,,
Fri Jun 04 04:40:00 UTC 2021,37760,2740,,
Fri Jun 04 04:50:00 UTC 2021,37621.5,2724.95,,
Fri Jun 04 05:00:00 UTC 2021,37555.5,2719.55,,
Fri Jun 04 05:10:00 UTC 2021,37388,2708.95,,
Fri Jun 04 05:20:00 UTC 2021,37063.5,2695.65,,
Fri Jun 04 05:30:00 UTC 2021,37119,2693.15,,
Fri Jun 04 05:40:00 UTC 2021,36911,2667.05,,
Fri Jun 04 05:50:00 UTC 2021,36773.5,2664.5,,
Fri Jun 04 06:00:00 UTC 2021,36745.5,2656,,
Fri Jun 04 06:10:00 UTC 2021,36959,2671.05,,
Fri Jun 04 06:20:00 UTC 2021,36859.5,2665.35,,
Fri Jun 04 06:30:00 UTC 2021,36873,2659.2,,
Fri Jun 04 06:40:00 UTC 2021,36964.5,2662.1,,
Fri Jun 04 06:50:00 UTC 2021,36626.5,2614.7,,
Fri Jun 04 07:00:00 UTC 2021,36800,2628.6,,
Fri Jun 04 07:10:00 UTC 2021,36558,2613.95,,
Fri Jun 04 07:20:00 UTC 2021,36338.5,2593.4,,
Fri Jun 04 07:30:00 UTC 2021,36625,2624.5,,
Fri Jun 04 07:40:00 UTC 2021,36712.5,2635.25,,
Fri Jun 04 07:50:00 UTC 2021,36827.5,2644.6,,
Fri Jun 04 08:00:00 UTC 2021,36624.5,2621,,
Fri Jun 04 08:10:00 UTC 2021,36664.5,2632.55,,
Fri Jun 04 08:20:00 UTC 2021,36505,2617.1,,
Fri Jun 04 08:30:00 UTC 2021,36725,2640.05,,
Fri Jun 04 08:40:00 UTC 2021,36676.5,2626.1,,
Fri Jun 04 08:50:00 UTC 2021,36761.5,2626.95,,
Fri Jun 04 09:00:00 UTC 2021,36716.5,2622.95,,
Fri Jun 04 09:10:00 UTC 2021,36533,2611.75,,
Fri Jun 04 09:20:00 UTC 2021,36623,2617.7,,
Fri Jun 04 09:30:00 UTC 2021,36663.5,2625.6,,
Fri Jun 04 09:40:00 UTC 2021,36825,2641.65,,
Fri Jun 04 09:50:00 UTC 2021,36846.5,2638.7,,
Fri Jun 04 10:00:00 UTC 2021,36858,2653.4,,
Fri Jun 04 10:10:00 UTC 2021,36935,2657.15,,
Fri Jun 04 10:20:00 UTC 2021,36924,2655.95,,
Fri Jun 04 10:30:00 UTC 2021,36737.5,2637.9,,
Fri Jun 04 10:40:00 UTC 2021,36750,2643.95,,
Fri Jun 04 10:50:00 UTC 2021,36708.5,2633.6,,
Fri Jun 04 11:00:00 UTC 2021,36662.5,2625,,
Fri Jun 04 11:10:00 UTC 2021,36815,2636.45,,
Fri Jun 04 11:20:00 UTC 2021,36651,2622.5,,
Fri Jun 04 11:30:00 UTC 2021,36674,2632.85,,
Fri Jun 04 11:40:00 UTC 2021,36492.5,2622.6,,
Fri Jun 04 11:50:00 UTC 2021,36541,2625.55,,
Fri Jun 04 12:00:00 UTC 2021,36573.5,2623,,
Fri Jun 04 12:10:00 UTC 2021,35854.5,2564.7,,
Fri Jun 04 12:20:00 UTC 2021,35885.5,2573.5,,
Fri Jun 04 12:30:00 UTC 2021,35814.5,2565.35,,
Fri Jun 04 12:40:00 UTC 2021,36475.5,2618.95,,
Fri Jun 04 12:50:00 UTC 2021,36965.5,2645.5,,
Fri Jun 04 13:00:00 UTC 2021,36901.5,2643.55,,
Fri Jun 04 13:10:00 UTC 2021,36781,2643.45,,
Fri Jun 04 13:20:00 UTC 2021,36785,2641.75,,
Fri Jun 04 13:30:00 UTC 2021,36817.5,2659.85,,
Fri Jun 04 13:40:00 UTC 2021,36893,2657.2,,
Fri Jun 04 13:50:00 UTC 2021,36747,2648.4,,
Fri Jun 04 14:00:00 UTC 2021,36725,2651.3,,
Fri Jun 04 14:10:00 UTC 2021,36476,2633.75,,
Fri Jun 04 14:20:00 UTC 2021,36358.5,2624.8,,
Fri Jun 04 14:30:00 UTC 2021,36384.5,2622,,
Fri Jun 04 14:40:00 UTC 2021,36473,2626.65,,
Fri Jun 04 14:50:00 UTC 2021,36635.5,2639.8,,
Fri Jun 04 15:00:00 UTC 2021,36709,2644.85,,
Fri Jun 04 15:10:00 UTC 2021,36639.5,2635.85,,
Fri Jun 04 15:20:00 UTC 2021,36693.5,2642.45,,
Fri Jun 04 15:30:00 UTC 2021,36810,2649.9,,
Fri Jun 04 15:40:00 UTC 2021,36931,2651.7,,
Fri Jun 04 15:50:00 UTC 2021,36925.5,2652.5,,
Fri Jun 04 16:00:00 UTC 2021,36971,2657.65,,
Fri Jun 04 16:10:00 UTC 2021,37056,2679.25,,
Fri Jun 04 16:20:00 UTC 2021,36888.5,2669.75,,
Fri Jun 04 16:30:00 UTC 2021,36940,2675,,
Fri Jun 04 16:40:00 UTC 2021,36838,2666.3,,
Fri Jun 04 16:50:00 UTC 2021,36783.5,2661.35,,
Fri Jun 04 17:00:00 UTC 2021,36909.5,2663.4,,
Fri Jun 04 17:10:00 UTC 2021,37003.5,2672.9,,
Fri Jun 04 17:20:00 UTC 2021,37037,2676.6,,
Fri Jun 04 17:30:00 UTC 2021,37194.5,2702.25,,
Fri Jun 04 17:40:00 UTC 2021,37174,2706.75,,
Fri Jun 04 17:50:00 UTC 2021,37151.5,2698.85,,
Fri Jun 04 18:00:00 UTC 2021,37101,2690.85,,
Fri Jun 04 18:10:00 UTC 2021,37006.5,2677.95,,
Fri Jun 04 18:20:00 UTC 2021,37055,2686.15,,
Fri Jun 04 18:30:00 UTC 2021,37127,2697,,
Fri Jun 04 18:40:00 UTC 2021,37081,2696.3,,
Fri Jun 04 18:50:00 UTC 2021,37128.5,2700.5,,
Fri Jun 04 19:00:00 UTC 2021,37114.5,2701.05,,
Fri Jun 04 19:10:00 UTC 2021,37111.5,2698.85,,
Fri Jun 04 19:20:00 UTC 2021,37040,2687.6,,
Fri Jun 04 19:30:00 UTC 2021,37087.5,2692.4,,
Fri Jun 04 19:40:00 UTC 2021,36994.5,2684.5,,
Fri Jun 04 19:50:00 UTC 2021,36831,2676.8,,
Fri Jun 04 20:00:00 UTC 2021,36814.5,2680.85,,
Fri Jun 04 20:10:00 UTC 2021,36882,2686,,
Fri Jun 04 20:20:00 UTC 2021,36959,2692.5,,
Fri Jun 04 20:30:00 UTC 2021,37068,2703.4,,
Fri Jun 04 20:40:00 UTC 2021,37012.5,2694.9,,
Fri Jun 04 20:50:00 UTC 2021,37054,2698.1,,
Fri Jun 04 21:00:00 UTC 2021,37044.5,2703.25,,
Fri Jun 04 21:10:00 UTC 2021,37209.5,2733.1,,
Fri Jun 04 21:20:00 UTC 2021,37175,2737.7,,
Fri Jun 04 21:30:00 UTC 2021,37175.5,2730,,
Fri Jun 04 21:40:00 UTC 2021,37129,2722.85,,
Fri Jun 04 21:50:00 UTC 2021,37160.5,2721.75,,
Fri Jun 04 22:00:00 UTC 2021,37220.5,2734.8,,
Fri Jun 04 22:10:00 UTC 2021,37127,2718.3,,
Fri Jun 04 22:20:00 UTC 2021,37170.5,2719.95,,
Fri Jun 04 22:30:00 UTC 2021,37127.5,2718.05,,
Fri Jun 04 22:40:00 UTC 2021,37201.5,2734.95,,
Fri Jun 04 22:50:00 UTC 2021,37179.5,2733.95,,
Fri Jun 04 23:00:00 UTC 2021,37103.5,2718.05,,
Fri Jun 04 23:10:00 UTC 2021,36867.5,2683.05,,
Fri Jun 04 23:20:00 UTC 2021,36695.5,2669.7,,
Fri Jun 04 23:30:00 UTC 2021,36800.5,2680.1,,
Fri Jun 04 23:40:00 UTC 2021,36823.5,2692.6,,
Fri Jun 04 23:50:00 UTC 2021,36885.5,2691.35,,
Sat Jun 05 00:00:00 UTC 2021,36846,2691.85,,
Sat Jun 05 00:10:00 UTC 2021,36940,2709.05,,
Sat Jun 05 00:20:00 UTC 2021,37229,2734.55,,
Sat Jun 05 00:30:00 UTC 2021,37305,2740.25,,
Sat Jun 05 00:40:00 UTC 2021,37507,2754.5,,
Sat Jun 05 00:50:00 UTC 2021,37584.5,2761.7,,
Sat Jun 05 01:00:00 UTC 2021,37700,2772.85,,
Sat Jun 05 01:10:00 UTC 2021,37649,2763,,
Sat Jun 05 01:20:00 UTC 2021,37598.5,2752,,
Sat Jun 05 01:30:00 UTC 2021,37595,2757.35,,
Sat Jun 05 01:40:00 UTC 2021,37708.5,2767.9,,
Sat Jun 05 01:50:00 UTC 2021,37807,2768.7,,
Sat Jun 05 02:00:00 UTC 2021,37702.5,2760.4,,
Sat Jun 05 02:10:00 UTC 2021,37579.5,2751.85,,
Sat Jun 05 02:20:00 UTC 2021,37611,2756.25,,
Sat Jun 05 02:30:00 UTC 2021,37508,2754.95,,
Sat Jun 05 02:40:00 UTC 2021,37479.5,2753.85,,
Sat Jun 05 02:50:00 UTC 2021,37480.5,2752.65,,
Sat Jun 05 03:00:00 UTC 2021,37648,2764.8,,
Sat Jun 05 03:10:00 UTC 2021,37574.5,2774.95,,
Sat Jun 05 03:20:00 UTC 2021,37475.5,2762.95,,
Sat Jun 05 03:30:00 UTC 2021,37570,2775.1,,
Sat Jun 05 03:40:00 UTC 2021,37523,2768.3,,
Sat Jun 05 03:50:00 UTC 2021,37428.5,2760.75,,
Sat Jun 05 04:00:00 UTC 2021,37411,2766,,
Sat Jun 05 04:10:00 UTC 2021,37611,2782.2,,
Sat Jun 05 04:20:00 UTC 2021,37543,2774.4,,
Sat Jun 05 04:30:00 UTC 2021,37485.5,2768.35,,
Sat Jun 05 04:40:00 UTC 2021,37589,2781.3,,
Sat Jun 05 04:50:00 UTC 2021,37587.5,2778.55,,
Sat Jun 05 05:00:00 UTC 2021,37694,2785.25,,
Sat Jun 05 05:10:00 UTC 2021,37674,2776.85,,
Sat Jun 05 05:20:00 UTC 2021,37583.5,2775.75,,
Sat Jun 05 05:30:00 UTC 2021,37598,2772.7,,
Sat Jun 05 05:40:00 UTC 2021,37546.5,2764.3,,
Sat Jun 05 05:50:00 UTC 2021,37603.5,2774.75,,
Sat Jun 05 06:00:00 UTC 2021,37597.5,2773.2,,
Sat Jun 05 06:10:00 UTC 2021,37789,2788.15,,
Sat Jun 05 06:20:00 UTC 2021,37700.5,2781.85,,
Sat Jun 05 06:30:00 UTC 2021,37743,2783.35,,
Sat Jun 05 06:40:00 UTC 2021,37669.5,2776,,
Sat Jun 05 06:50:00 UTC 2021,37716.5,2782.25,,
Sat Jun 05 07:00:00 UTC 2021,37700.5,2783.55,,
Sat Jun 05 07:10:00 UTC 2021,37853.5,2802.5,,
Sat Jun 05 07:20:00 UTC 2021,37873,2815.4,,
Sat Jun 05 07:30:00 UTC 2021,37824.5,2809.7,,
Sat Jun 05 07:40:00 UTC 2021,37795,2802.8,,
Sat Jun 05 07:50:00 UTC 2021,37682.5,2795,,
Sat Jun 05 08:00:00 UTC 2021,37602,2781.6,,
Sat Jun 05 08:10:01 UTC 2021,37533.5,2784.9,,
Sat Jun 05 08:20:00 UTC 2021,37591,2788.45,,
Sat Jun 05 08:30:00 UTC 2021,37713,2801.15,,
Sat Jun 05 08:40:00 UTC 2021,37687,2798.05,,
Sat Jun 05 08:50:00 UTC 2021,37784,2808.7,,
Sat Jun 05 09:00:00 UTC 2021,37770,2809.8,,
Sat Jun 05 09:10:00 UTC 2021,37778.5,2803.85,,
Sat Jun 05 09:20:00 UTC 2021,37710,2797.95,,
Sat Jun 05 09:30:00 UTC 2021,37660.5,2795.45,,
Sat Jun 05 09:40:00 UTC 2021,37539,2785.65,,
Sat Jun 05 09:50:00 UTC 2021,37149,2750.65,,
Sat Jun 05 10:00:00 UTC 2021,36301,2704.45,,
Sat Jun 05 10:10:00 UTC 2021,36232.5,2698.5,,
Sat Jun 05 10:20:00 UTC 2021,36504.5,2720.85,,
Sat Jun 05 10:30:00 UTC 2021,36623,2721.05,,
Sat Jun 05 10:40:00 UTC 2021,36527.5,2716.7,,
Sat Jun 05 10:50:00 UTC 2021,36343.5,2698.7,,
